"","ID","Name","Sex","Age","Height","Weight","Team","Year","Sport","Medal"
"1",22,"Andreea Aanei","F",22,170,125,"Romania",2016,"Weightlifting",NA
"2",51,"Nstor Abad Sanjun","M",23,167,64,"Spain",2016,"Gymnastics",NA
"3",51,"Nstor Abad Sanjun","M",23,167,64,"Spain",2016,"Gymnastics",NA
"4",51,"Nstor Abad Sanjun","M",23,167,64,"Spain",2016,"Gymnastics",NA
"5",51,"Nstor Abad Sanjun","M",23,167,64,"Spain",2016,"Gymnastics",NA
"6",51,"Nstor Abad Sanjun","M",23,167,64,"Spain",2016,"Gymnastics",NA
"7",51,"Nstor Abad Sanjun","M",23,167,64,"Spain",2016,"Gymnastics",NA
"8",55,"Antonio Abadia Beci","M",26,170,65,"Spain",2016,"Athletics",NA
"9",62,"Giovanni Abagnale","M",21,198,90,"Italy",2016,"Rowing","Bronze"
"10",65,"Patimat Abakarova","F",21,165,49,"Azerbaijan",2016,"Taekwondo","Bronze"
"11",73,"Luc Abalo","M",31,182,86,"France",2016,"Handball","Silver"
"12",105,"Ilyas Abbadi","M",23,175,75,"Algeria",2016,"Boxing",NA
"13",110,"Abubakar Abbas Abbas","M",20,175,66,"Bahrain",2016,"Athletics",NA
"14",135,"Lois Abbingh","F",23,178,72,"Netherlands",2016,"Handball",NA
"15",138,"Salwan Jasim Abbood Abbood","M",24,180,104,"Iraq",2016,"Weightlifting",NA
"16",141,"Clare Abbott","F",30,167,58,"Ireland",2016,"Equestrianism",NA
"17",141,"Clare Abbott","F",30,167,58,"Ireland",2016,"Equestrianism",NA
"18",149,"Mara Katherine Abbott","F",30,163,52,"United States",2016,"Cycling",NA
"19",161,"Hossam Abdalla","M",28,203,97,"Egypt",2016,"Volleyball",NA
"20",170,"Maha Abdalsalam Gouda","F",18,172,61,"Egypt",2016,"Diving",NA
"21",203,"Ahmed Abdel Naeim","M",31,197,87,"Egypt",2016,"Volleyball",NA
"22",213,"Samy Abdel Razek","M",36,170,60,"Egypt",2016,"Shooting",NA
"23",213,"Samy Abdel Razek","M",36,170,60,"Egypt",2016,"Shooting",NA
"24",225,"Shaimaa Abdel-Latif-Hashad","F",35,165,57,"Egypt",2016,"Shooting",NA
